Year,Intra Year Drops,Annual Returns
1980,-17,26
1981,-18,-10
1982,-17,15
1983,-7,17
1984,-13,1
1985,-8,26
1986,-9,15
1987,-34,2
1988,-8,12
1989,-8,27
1990,-20,-7
1991,-6,26
1992,-6,4
1993,-5,7
1994,-9,-2
1995,-3,34
1996,-8,20
1997,-11,31
1998,-19,27
1999,-12,20
2000,-17,-10
2001,-30,-13
2002,-34,-23
2003,-14,26
2004,-8,9
2005,-7,3
2006,-8,14
2007,-10,4
2008,-49,-38
2009,-28,23
2010,-16,13
2011,-19,0
2012,-10,13
2013,-6,30
2014,-7,11
2015,-12,-1
2016,-11,10
2017,-3,19
2018,-20,-6
2019,-7,29
2020,-34,16
2021,-5,27
2022,-25,-19
2023,-10,24
2024,-5,14
