Date,S&P 500,S&P 493,Mag 7,Alpha Picks,RSP Equal Weight
01/01/24,0.00%,0.00%,0.00%,0.00%,0.00%
01/02/24,0.00%,0.00%,0.00%,-0.56%,0.00%
01/03/24,-0.80%,-0.85%,-0.61%,-2.17%,-1.45%
01/04/24,-1.12%,-0.94%,-1.72%,-1.88%,-1.58%
01/05/24,-0.94%,-0.76%,-1.73%,-1.78%,-1.30%
01/08/24,0.46%,0.16%,0.44%,0.11%,-0.24%
01/09/24,0.32%,-0.21%,0.74%,0.29%,-0.71%
01/10/24,0.89%,0.00%,2.07%,0.37%,-0.55%
01/11/24,0.83%,-0.12%,2.04%,0.99%,-0.86%
01/12/24,0.91%,-0.07%,2.26%,1.18%,-1.04%
01/16/24,0.53%,-0.58%,1.82%,0.34%,-1.71%
01/17/24,-0.03%,-1.14%,1.26%,0.18%,-2.50%
01/18/24,0.86%,-0.59%,2.95%,1.59%,-1.98%
01/19/24,2.11%,0.43%,4.47%,5.17%,-1.20%
01/22/24,2.33%,0.74%,4.44%,6.95%,-0.69%
01/23/24,2.63%,0.91%,5.12%,6.20%,-0.63%
01/24/24,2.71%,0.73%,5.68%,5.59%,-1.17%
01/25/24,3.26%,1.48%,5.60%,7.07%,-0.19%
01/26/24,3.20%,1.49%,5.45%,7.15%,-0.18%
01/29/24,3.97%,2.07%,6.51%,9.59%,0.45%
01/30/24,3.92%,2.34%,5.46%,10.67%,0.51%
01/31/24,2.25%,1.27%,2.14%,10.99%,-0.82%
02/01/24,3.53%,2.40%,3.63%,13.65%,0.36%
02/02/24,4.64%,2.46%,7.14%,14.24%,0.28%
02/05/24,4.31%,1.95%,6.55%,15.44%,-0.58%
02/06/24,4.55%,2.31%,6.70%,14.87%,-0.01%
02/07/24,5.40%,2.87%,8.08%,15.28%,0.37%
02/08/24,5.48%,3.04%,7.96%,17.03%,0.62%
02/09/24,6.09%,3.19%,9.44%,18.71%,0.77%
02/12/24,6.00%,3.46%,8.31%,20.45%,1.42%
02/13/24,4.56%,2.13%,6.42%,18.65%,-0.30%
02/14/24,5.58%,3.01%,7.35%,23.68%,0.70%
02/15/24,6.22%,4.05%,7.16%,27.84%,1.88%
02/16/24,5.73%,3.72%,6.22%,21.56%,1.44%
02/20/24,5.10%,3.31%,5.56%,19.17%,1.13%
02/21/24,5.24%,3.56%,5.84%,18.31%,1.41%
02/22/24,7.46%,4.92%,8.32%,25.89%,2.46%
02/23/24,7.50%,5.13%,7.79%,24.10%,2.70%
