Date,S&P 500,S&P 493,Mag 7,Alpha Picks,RSP Equal Weight
01/01/24,"$10,000,000","$10,000,000","$10,000,000","$10,000,000","$10,000,000"
01/02/24,"$10,000,000","$10,000,000","$10,000,000","$9,943,705.56","$10,000,000"
01/03/24,"$9,920,255","$9,915,203","$9,939,387","$9,783,393.70","$9,854,775"
01/04/24,"$9,887,567","$9,905,994","$9,827,916","$9,811,531.67","$9,841,610"
01/05/24,"$9,905,707","$9,923,537","$9,826,889","$9,822,329.63","$9,869,959"
01/08/24,"$10,045,734","$10,016,407","$10,044,297","$10,011,346.27","$9,976,086"
01/09/24,"$10,032,360","$9,979,013","$10,074,153","$10,029,142.39","$9,928,955"
01/10/24,"$10,089,361","$10,000,460","$10,206,899","$10,036,624.05","$9,944,541"
01/11/24,"$10,082,752","$9,987,821","$10,204,073","$10,099,404.93","$9,914,053"
01/12/24,"$10,091,218","$9,992,634","$10,226,179","$10,118,377.71","$9,895,763"
01/16/24,"$10,053,466","$9,942,035","$10,181,855","$10,033,994.97","$9,829,065"
01/17/24,"$9,997,021","$9,886,390","$10,125,577","$10,018,304.39","$9,750,243"
01/18/24,"$10,085,838","$9,940,747","$10,295,262","$10,159,341.20","$9,801,534"
01/19/24,"$10,210,599","$10,043,059","$10,446,793","$10,517,315.36","$9,880,319"
01/22/24,"$10,233,071","$10,074,208","$10,443,669","$10,695,050.46","$9,931,267"
01/23/24,"$10,263,125","$10,091,468","$10,512,247","$10,620,128.23","$9,936,654"
01/24/24,"$10,271,462","$10,072,933","$10,567,974","$10,558,778.75","$9,882,956"
01/25/24,"$10,326,316","$10,148,193","$10,560,262","$10,706,885.89","$9,980,915"
01/26/24,"$10,319,543","$10,149,004","$10,544,929","$10,714,903.75","$9,982,498"
01/29/24,"$10,397,264","$10,207,415","$10,650,940","$10,959,064.89","$10,045,433"
01/30/24,"$10,391,756","$10,233,713","$10,546,370","$11,067,409.54","$10,050,523"
01/31/24,"$10,224,701","$10,127,467","$10,213,672","$11,098,761.53","$9,918,412"
02/01/24,"$10,352,878","$10,239,787","$10,363,057","$11,364,699.55","$10,036,133"
02/02/24,"$10,463,829","$10,245,814","$10,714,089","$11,424,198.52","$10,028,201"
02/05/24,"$10,430,718","$10,195,201","$10,654,725","$11,543,590.44","$9,941,889"
02/06/24,"$10,455,028","$10,231,249","$10,669,806","$11,486,907.58","$9,999,020"
02/07/24,"$10,540,198","$10,286,969","$10,807,709","$11,528,134.12","$10,037,386"
02/08/24,"$10,547,946","$10,304,105","$10,795,920","$11,702,654.44","$10,061,944"
02/09/24,"$10,609,443","$10,319,231","$10,944,250","$11,870,953.58","$10,077,453"
02/12/24,"$10,599,751","$10,345,529","$10,830,954","$12,044,560.66","$10,141,786"
02/13/24,"$10,456,030","$10,212,723","$10,641,630","$11,865,008.20","$9,970,457"
02/14/24,"$10,558,085","$10,301,368","$10,734,585","$12,367,542.36","$10,069,568"
02/15/24,"$10,621,938","$10,404,966","$10,716,003","$12,784,299.58","$10,188,293"
02/16/24,"$10,572,682","$10,371,526","$10,621,869","$12,156,172.02","$10,144,326"
02/20/24,"$10,509,720","$10,330,849","$10,556,363","$11,916,818.45","$10,113,416"
02/21/24,"$10,523,578","$10,356,460","$10,584,413","$11,831,081.95","$10,141,115"
02/22/24,"$10,745,982","$10,491,838","$10,832,085","$12,589,405.62","$10,246,377"
